dia,n,media_movel_7d,incompleto
2024-06-04,164.0,199.85714285714286,False
2024-06-05,163.0,209.14285714285714,False
2024-06-06,183.0,206.14285714285714,False
2024-06-07,227.0,208.85714285714286,False
2024-06-08,262.0,211.57142857142858,False
2024-06-09,245.0,214.57142857142858,False
2024-06-10,218.0,216.85714285714286,False
2024-06-11,183.0,215.14285714285714,False
2024-06-12,184.0,207.42857142857142,False
2024-06-13,199.0,207.42857142857142,False
2024-06-14,215.0,205.85714285714286,False
2024-06-15,208.0,206.0,False
2024-06-16,245.0,206.57142857142858,False
2024-06-17,207.0,203.42857142857142,False
2024-06-18,184.0,205.28571428571428,False
2024-06-19,188.0,209.71428571428572,False
2024-06-20,177.0,207.0,False
2024-06-21,228.0,207.42857142857142,False
2024-06-22,239.0,208.85714285714286,False
2024-06-23,226.0,207.42857142857142,False
2024-06-24,210.0,209.14285714285714,False
2024-06-25,194.0,206.42857142857142,False
2024-06-26,178.0,203.71428571428572,False
2024-06-27,189.0,202.57142857142858,False
2024-06-28,209.0,200.0,False
2024-06-29,220.0,202.0,False
2024-06-30,218.0,203.0,False
2024-07-01,192.0,202.28571428571428,False
2024-07-02,208.0,210.0,False
2024-07-03,185.0,218.14285714285714,False
2024-07-04,184.0,224.71428571428572,False
2024-07-05,263.0,228.28571428571428,False
2024-07-06,277.0,227.42857142857142,False
2024-07-07,264.0,227.71428571428572,False
2024-07-08,217.0,231.28571428571428,False
2024-07-09,202.0,223.85714285714286,False
2024-07-10,187.0,216.42857142857142,False
2024-07-11,209.0,210.85714285714286,False
2024-07-12,211.0,208.0,False
2024-07-13,225.0,203.57142857142858,False
2024-07-14,225.0,202.42857142857142,False
2024-07-15,197.0,200.14285714285714,False
2024-07-16,171.0,203.0,False
2024-07-17,179.0,200.14285714285714,False
2024-07-18,193.0,202.57142857142858,False
2024-07-19,231.0,202.85714285714286,False
2024-07-20,205.0,202.28571428571428,False
2024-07-21,242.0,204.0,False
2024-07-22,199.0,204.28571428571428,False
2024-07-23,167.0,201.71428571428572,False
2024-07-24,191.0,202.42857142857142,False
2024-07-25,195.0,199.14285714285714,False
2024-07-26,213.0,199.71428571428572,False
2024-07-27,210.0,198.57142857142858,False
2024-07-28,219.0,196.71428571428572,False
2024-07-29,203.0,195.57142857142858,False
2024-07-30,159.0,198.71428571428572,False
2024-07-31,178.0,204.42857142857142,False
2024-08-01,187.0,205.0,False
2024-08-02,235.0,205.14285714285714,False
2024-08-03,250.0,207.0,False
2024-08-04,223.0,207.57142857142858,False
2024-08-05,204.0,206.85714285714286,False
2024-08-06,172.0,205.42857142857142,False
2024-08-07,182.0,202.42857142857142,False
2024-08-08,182.0,201.71428571428572,False
2024-08-09,225.0,199.42857142857142,False
2024-08-10,229.0,199.0,False
2024-08-11,218.0,197.0,False
2024-08-12,188.0,195.71428571428572,False
2024-08-13,169.0,192.42857142857142,False
2024-08-14,168.0,193.14285714285714,False
2024-08-15,173.0,196.28571428571428,False
2024-08-16,202.0,196.85714285714286,False
2024-08-17,234.0,196.0,False
2024-08-18,240.0,195.42857142857142,False
2024-08-19,192.0,194.42857142857142,False
2024-08-20,163.0,196.42857142857142,False
2024-08-21,164.0,195.57142857142858,False
2024-08-22,166.0,187.85714285714286,False
2024-08-23,216.0,189.57142857142858,False
2024-08-24,228.0,190.42857142857142,False
2024-08-25,186.0,189.14285714285714,False
2024-08-26,204.0,191.0,False
2024-08-27,169.0,192.71428571428572,False
2024-08-28,155.0,193.85714285714286,False
2024-08-29,179.0,199.42857142857142,False
2024-08-30,228.0,196.71428571428572,False
2024-08-31,236.0,196.0,False
2024-09-01,225.0,200.28571428571428,False
2024-09-02,185.0,202.14285714285714,False
2024-09-03,164.0,203.14285714285714,False
2024-09-04,185.0,203.0,False
2024-09-05,192.0,206.85714285714286,False
2024-09-06,235.0,208.85714285714286,False
2024-09-07,235.0,207.71428571428572,False
2024-09-08,252.0,207.71428571428572,False
2024-09-09,199.0,208.14285714285714,False
2024-09-10,156.0,204.28571428571428,False
2024-09-11,185.0,206.0,False
2024-09-12,195.0,206.71428571428572,False
2024-09-13,208.0,206.14285714285714,False
2024-09-14,247.0,209.42857142857142,False
2024-09-15,257.0,209.14285714285714,False
2024-09-16,195.0,209.14285714285714,False
2024-09-17,179.0,213.0,False
