dia,n,media_movel_7d
2023-10-09,200,190.14285714285714
2023-10-10,175,192.42857142857142
2023-10-11,212,200.28571428571428
2023-10-12,214,209.28571428571428
2023-10-13,152,197.42857142857142
2023-10-14,199,197.28571428571428
2023-10-15,219,195.85714285714286
2023-10-16,151,188.85714285714286
2023-10-17,167,187.71428571428572
2023-10-18,148,178.57142857142858
2023-10-19,166,171.71428571428572
2023-10-20,186,176.57142857142858
2023-10-21,208,177.85714285714286
2023-10-22,208,176.28571428571428
2023-10-23,169,178.85714285714286
2023-10-24,159,177.71428571428572
2023-10-25,152,178.28571428571428
2023-10-26,178,180.0
2023-10-27,198,181.71428571428572
2023-10-28,196,180.0
2023-10-29,189,177.28571428571428
2023-10-30,168,177.14285714285714
2023-10-31,153,176.28571428571428
2023-11-01,194,182.28571428571428
2023-11-02,148,178.0
2023-11-03,184,176.0
2023-11-04,196,176.0
2023-11-05,221,180.57142857142858
2023-11-06,191,183.85714285714286
2023-11-07,161,185.0
2023-11-08,182,183.28571428571428
2023-11-09,159,184.85714285714286
2023-11-10,209,188.42857142857142
2023-11-11,254,196.71428571428572
2023-11-12,243,199.85714285714286
2023-11-13,188,199.42857142857142
2023-11-14,193,204.0
2023-11-15,152,199.71428571428572
2023-11-16,154,199.0
2023-11-17,180,194.85714285714286
2023-11-18,210,188.57142857142858
2023-11-19,222,185.57142857142858
2023-11-20,189,185.71428571428572
2023-11-21,171,182.57142857142858
2023-11-22,163,184.14285714285714
2023-11-23,165,185.71428571428572
2023-11-24,194,187.71428571428572
2023-11-25,206,187.14285714285714
2023-11-26,199,183.85714285714286
2023-11-27,160,179.71428571428572
2023-11-28,180,181.0
2023-11-29,153,179.57142857142858
2023-11-30,171,180.42857142857142
2023-12-01,219,184.0
2023-12-02,229,187.28571428571428
2023-12-03,200,187.42857142857142
2023-12-04,219,195.85714285714286
2023-12-05,187,196.85714285714286
2023-12-06,185,201.42857142857142
2023-12-07,225,209.14285714285714
2023-12-08,227,210.28571428571428
2023-12-09,223,209.42857142857142
2023-12-10,250,216.57142857142858
2023-12-11,210,215.28571428571428
2023-12-12,177,213.85714285714286
2023-12-13,164,210.85714285714286
2023-12-14,200,207.28571428571428
2023-12-15,273,213.85714285714286
2023-12-16,280,222.0
2023-12-17,234,219.71428571428572
2023-12-18,215,220.42857142857142
2023-12-19,191,222.42857142857142
2023-12-20,230,231.85714285714286
2023-12-21,232,236.42857142857142
2023-12-22,277,237.0
2023-12-23,303,240.28571428571428
2023-12-24,195,234.71428571428572
2023-12-25,187,230.71428571428572
2023-12-26,187,230.14285714285714
2023-12-27,155,219.42857142857142
2023-12-28,190,213.42857142857142
2023-12-29,189,200.85714285714286
2023-12-30,209,187.42857142857142
2023-12-31,152,181.28571428571428
2024-01-01,239,188.71428571428572
2024-01-02,240,196.28571428571428
2024-01-03,189,201.14285714285714
2024-01-04,152,195.71428571428572
2024-01-05,161,191.71428571428572
2024-01-06,201,190.57142857142858
2024-01-07,195,196.71428571428572
2024-01-08,182,188.57142857142858
2024-01-09,147,175.28571428571428
2024-01-10,170,172.57142857142858
2024-01-11,188,177.71428571428572
2024-01-12,200,183.28571428571428
2024-01-13,202,183.42857142857142
2024-01-14,235,189.14285714285714
2024-01-15,167,187.0
2024-01-16,176,191.14285714285714
2024-01-17,163,190.14285714285714
2024-01-18,181,189.14285714285714
2024-01-19,200,189.14285714285714
2024-01-20,231,193.28571428571428
2024-01-21,215,190.42857142857142
2024-01-22,185,193.0
2024-01-23,173,192.57142857142858
2024-01-24,153,191.14285714285714
2024-01-25,159,188.0
2024-01-26,181,185.28571428571428
2024-01-27,184,178.57142857142858
2024-01-28,215,178.57142857142858
